,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,30,83,27,3,37,04,30,28,8,多雲。降雨機率 20%。溫度攝氏28至32度。悶熱。西北風 風速2級(每秒3公尺)。相對濕度83%。,32,32,西北風,27,仁武區
1,2023-07-26 06:00:00,32,73,27,3,39,10,31,28,0,陰時多雲短暫陣雨。降雨機率 60%。溫度攝氏28至34度。悶熱至易中暑。偏北風 風速2級(每秒3公尺)。相對濕度73%。,32,34,偏北風,27,仁武區
2,2023-07-26 18:00:00,29,84,27,4,36,14,30,28,6,陰陣雨。降雨機率 90%。溫度攝氏28至32度。悶熱。西南風 風速3級(每秒4公尺)。相對濕度84%。,32,32,西南風,27,仁武區
3,2023-07-27 06:00:00,29,83,27,10,35,14,29,28,0,陰陣雨。降雨機率 100%。溫度攝氏28至30度。悶熱。東北風 風速5級(每秒10公尺)。相對濕度83%。,28,30,東北風,26,仁武區
4,2023-07-27 18:00:00,28,80,26,>= 11,28,14,27,27,7,陰陣雨。降雨機率 90%。溫度攝氏27至29度。舒適至悶熱。東南風 風速>= 6級(每秒15公尺)。相對濕度80%。,26,29,東南風,24,仁武區
5,2023-07-28 06:00:00,30,80,26,>= 11,32,10,30,27,0,陰時多雲短暫陣雨。降雨機率 80%。溫度攝氏27至32度。舒適至悶熱。偏南風 風速>= 6級(每秒12公尺)。相對濕度80%。,27,32,偏南風,27,仁武區
6,2023-07-28 18:00:00,29,65,26,9,31,08,28,28,9,多雲短暫陣雨。降雨機率 60%。溫度攝氏28至30度。舒適至悶熱。偏南風 風速5級(每秒9公尺)。相對濕度65%。,27,30,偏南風,22,仁武區
7,2023-07-29 06:00:00,32,73,26,4,39,08,31,28,0,多雲短暫陣雨。溫度攝氏28至34度。舒適至易中暑。偏南風 風速3級(每秒4公尺)。相對濕度73%。,28,34,偏南風,26,仁武區
8,2023-07-29 18:00:00,29,85,26,2,37,08,29,28,8,多雲短暫陣雨。溫度攝氏28至31度。舒適至悶熱。偏北風 風速2級(每秒2公尺)。相對濕度85%。,32,31,偏北風,26,仁武區
9,2023-07-30 06:00:00,32,82,26,2,41,10,32,28,0,陰時多雲短暫陣雨。溫度攝氏28至34度。舒適至易中暑。偏西風 風速2級(每秒2公尺)。相對濕度82%。,32,34,偏西風,28,仁武區
10,2023-07-30 18:00:00,29,85,26,1,37,08,30,27,9,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。偏西風 風速<= 1級(每秒1公尺)。相對濕度85%。,32,31,偏西風,26,仁武區
11,2023-07-31 06:00:00,32,72,26,3,39,08,30,27,0,多雲短暫陣雨。溫度攝氏27至34度。舒適至悶熱。偏北風 風速2級(每秒3公尺)。相對濕度72%。,32,34,偏北風,26,仁武區
12,2023-07-31 18:00:00,29,86,26,1,37,08,29,27,9,多雲短暫陣雨。溫度攝氏27至32度。舒適至悶熱。偏南風 風速<= 1級(每秒1公尺)。相對濕度86%。,32,32,偏南風,26,仁武區
13,2023-08-01 06:00:00,32,73,26,3,40,08,31,27,0,多雲短暫陣雨。溫度攝氏27至34度。舒適至易中暑。西北風 風速2級(每秒3公尺)。相對濕度73%。,32,34,西北風,26,仁武區
14,2023-08-01 18:00:00,29,84,27,2,36,11,29,28,,陰短暫陣雨。溫度攝氏28至32度。悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度84%。,32,32,西北風,26,仁武區
