,time,T,RH,MinCI,WS,MaxAT,Wx,MaxCI,MinT,UVI,WeatherDescription,MinAT,MaxT,WD,Td,District
0,2023-07-25 18:00:00,29,84,26,3,36,05,29,28,8,多雲時陰。降雨機率 20%。溫度攝氏28至31度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度84%。,31,31,西北風,26,大寮區
1,2023-07-26 06:00:00,31,77,26,3,38,10,31,28,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏28至33度。舒適至易中暑。偏北風 風速2級(每秒3公尺)。相對濕度77%。,31,33,偏北風,26,大寮區
2,2023-07-26 18:00:00,29,88,26,3,36,14,29,27,6,陰陣雨。降雨機率 90%。溫度攝氏27至31度。舒適至悶熱。偏西風 風速2級(每秒3公尺)。相對濕度88%。,31,31,偏西風,26,大寮區
3,2023-07-27 06:00:00,29,86,26,>= 11,33,14,28,27,0,陰陣雨。降雨機率 100%。溫度攝氏27至29度。舒適至悶熱。東北風 風速>= 6級(每秒11公尺)。相對濕度86%。,27,29,東北風,26,大寮區
4,2023-07-27 18:00:00,27,81,26,>= 11,27,14,27,27,7,陰陣雨。降雨機率 80%。溫度攝氏27至28度。舒適至悶熱。東南風 風速>= 6級(每秒15公尺)。相對濕度81%。,25,28,東南風,24,大寮區
5,2023-07-28 06:00:00,30,81,26,>= 11,31,10,30,27,0,陰時多雲短暫陣雨。降雨機率 70%。溫度攝氏27至31度。舒適至悶熱。偏南風 風速>= 6級(每秒11公尺)。相對濕度81%。,25,31,偏南風,26,大寮區
6,2023-07-28 18:00:00,28,69,25,9,30,08,27,27,9,多雲短暫陣雨。降雨機率 60%。溫度攝氏27至30度。舒適至悶熱。偏南風 風速5級(每秒9公尺)。相對濕度69%。,26,30,偏南風,22,大寮區
7,2023-07-29 06:00:00,31,73,25,3,38,08,30,27,0,多雲短暫陣雨。溫度攝氏27至33度。舒適至悶熱。偏南風 風速2級(每秒3公尺)。相對濕度73%。,27,33,偏南風,26,大寮區
8,2023-07-29 18:00:00,28,86,25,2,36,08,29,27,8,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。偏北風 風速<= 1級(每秒2公尺)。相對濕度86%。,31,31,偏北風,26,大寮區
9,2023-07-30 06:00:00,31,74,25,3,39,09,30,27,0,多雲時陰短暫陣雨。溫度攝氏27至34度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度74%。,31,34,西北風,26,大寮區
10,2023-07-30 18:00:00,28,86,25,2,36,08,29,27,9,多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東北風 風速<= 1級(每秒2公尺)。相對濕度86%。,31,31,東北風,26,大寮區
11,2023-07-31 06:00:00,31,70,25,3,38,08,30,27,0,多雲短暫陣雨。溫度攝氏27至34度。舒適至悶熱。東北風 風速2級(每秒3公尺)。相對濕度70%。,31,34,東北風,25,大寮區
12,2023-07-31 18:00:00,28,86,25,1,35,09,28,27,9,多雲時陰短暫陣雨。溫度攝氏27至31度。舒適至悶熱。東南風 風速<= 1級(每秒1公尺)。相對濕度86%。,31,31,東南風,26,大寮區
13,2023-08-01 06:00:00,31,69,25,3,39,08,30,27,0,多雲短暫陣雨。溫度攝氏27至34度。舒適至悶熱。西北風 風速2級(每秒3公尺)。相對濕度69%。,31,34,西北風,25,大寮區
14,2023-08-01 18:00:00,28,86,26,2,36,10,28,27,,陰時多雲短暫陣雨。溫度攝氏27至31度。舒適至悶熱。西北風 風速<= 1級(每秒2公尺)。相對濕度86%。,31,31,西北風,26,大寮區
